INSERT INTO Games VALUES(0, date '2003-12-22', date '2008-8-19', 'Kansas City Royals', 'Houston Astros', 'Kansas City Royals');
INSERT INTO Games VALUES(1, date '2006-4-27', date '2005-10-15', 'Toronto Blue Jays', 'New York Yankees', 'Toronto Blue Jays');
INSERT INTO Games VALUES(2, date '2004-7-20', date '2002-6-4', 'Washington Nationals', 'Los Angeles Dodgers', 'Washington Nationals');
INSERT INTO Games VALUES(3, date '2001-6-3', date '2001-4-19', 'Washington Nationals', 'Philadelphia Phillies', 'Washington Nationals');
INSERT INTO Games VALUES(4, date '2000-8-23', date '2006-4-16', 'Baltimore Orioles', 'Minnesota Twins', 'Baltimore Orioles');
INSERT INTO Games VALUES(5, date '2003-5-11', date '2001-1-11', 'Cincinnati Reds', 'Texas Rangers', 'Cincinnati Reds');
INSERT INTO Games VALUES(6, date '2006-10-3', date '2006-7-23', 'Seattle Mariners', 'San Diego Padres', 'Seattle Mariners');
INSERT INTO Games VALUES(7, date '2001-4-26', date '2002-1-15', 'Chicago White Sox', 'Arizona Diamondbacks', 'Chicago White Sox');
INSERT INTO Games VALUES(8, date '2000-7-2', date '2009-11-18', 'Arizona Diamondbacks', 'Pittsburgh Pirates', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(9, date '2005-1-6', date '2005-1-8', 'Texas Rangers', 'New York Mets', 'Texas Rangers');
INSERT INTO Games VALUES(10, date '2009-9-11', date '2000-9-17', 'Arizona Diamondbacks', 'Milwaukee Brewers', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(11, date '2009-4-26', date '2004-9-15', 'Arizona Diamondbacks', 'Detroit Tigers', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(12, date '2003-7-23', date '2004-10-21', 'Tampa Bay Rays', 'Toronto Blue Jays', 'Tampa Bay Rays');
INSERT INTO Games VALUES(13, date '2003-8-17', date '2007-5-11', 'Los Angeles Angels', 'Minnesota Twins', 'Los Angeles Angels');
INSERT INTO Games VALUES(14, date '2001-8-19', date '2007-9-26', 'Baltimore Orioles', 'Boston Red Sox', 'Baltimore Orioles');
INSERT INTO Games VALUES(15, date '2003-12-27', date '2006-7-27', 'New York Yankees', 'Washington Nationals', 'New York Yankees');
INSERT INTO Games VALUES(16, date '2009-3-26', date '2008-4-25', 'Pittsburgh Pirates', 'San Diego Padres', 'Pittsburgh Pirates');
INSERT INTO Games VALUES(17, date '2004-11-26', date '2006-2-1', 'Houston Astros', 'San Diego Padres', 'Houston Astros');
INSERT INTO Games VALUES(18, date '2008-12-27', date '2005-3-22', 'Kansas City Royals', 'Kansas City Royals', 'Kansas City Royals');
INSERT INTO Games VALUES(19, date '2003-3-6', date '2007-8-19', 'Toronto Blue Jays', 'Arizona Diamondbacks', 'Toronto Blue Jays');
INSERT INTO Games VALUES(20, date '2006-8-12', date '2007-2-14', 'Arizona Diamondbacks', 'Pittsburgh Pirates', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(21, date '2000-1-27', date '2007-4-8', 'Cincinnati Reds', 'Chicago Cubs', 'Cincinnati Reds');
INSERT INTO Games VALUES(22, date '2002-1-19', date '2002-10-9', 'New York Mets', 'San Diego Padres', 'New York Mets');
