Juan Gutierrez
Leo Rosales
Kris Benson
Brandon Webb
Jo-Jo Reyes
Jordan Schafer
Takashi Saito
Jair Jurrjens
Eric O'Flaherty
Kris Medlen
Koji Uehara
Alfredo Simon
Michael	Gonzalez
Kevin Millwood
Jim Johnson
David Hernandez
Jason Berken
Daisuke Matsuzaka
Boof Bonser
Manny Delcarmen
Clay Buchholz
Josh Beckett
Hideki Okajima
Junichi Tazawa
Ted Lilly
Esmailin Caridad
John Grabow
Brian Schlitter
Carlos Silva
John Grabow
Esmailin Caridad
Angel Guzman
Erick Threets
Matt Thornton
J.J. Putz
Jake Peavy
Erick Threets
Edinson Volquez
Homer Bailey
Aaron Harang
Mike Leake
Mike Lincoln
Russ Springer
Hector Ambriz
Kerry Wood
Mitch Talbot
Aaron Laffey
Hector Ambriz
Jason Hammel
Jeff Francis
Franklin Morales
Huston Street
Jorge De La Rosa
Taylor Buchholz
Aaron Cook
Matt Daley
Jeff Francis
Greg Reynolds
Manuel Corpas
Aaron Cook
Ryan Perry
Joel Zumaya
Bobby Seay
Zach Miner
Brian Sanches
Dan Meyer
Renyel Pinto
Clay Hensley
Chris Leroux
Sean West
Jhan Marinez
Ricky Nolasco
Sammy Gervacio
Tim Byrdak
Chris Sampson
Bud Norris
Jeff Fulchino
Matt Lindstrom
Felipe Paulino
Alberto Arias
Yorman Bazardo
Brian Moehler
Gil Meche
John Parrish
Robinson Tejeda
Luke Hochevar
Brian Bannister
Kanekoa Texeira
Brian Fuentes
Scott Kazmir
Rich Thompson
Brian Stokes
Jason Bulger
Joel Pineiro
Chris Pettit
Hong-Chih Kuo
Jeff Weaver
Charlie Haeger
George Sherrill
Vicente Padilla
Charlie Haeger
Chad Billingsley
Carlos Monasterios
Travis Schlichting
Cory Wade
Pat Neshek
Jose Mijares
Kevin Slowey
Jose Mijares
Ron Mahay
Clay Condrey
Joe Nathan
Jeff Suppan
Josh Butler
David Riske
Todd Coffey
Doug Davis
Yovani Gallardo
LaTroy Hawkins
Doug Davis
LaTroy Hawkins
Ryota Igarashi
Jon Niese
Oliver Perez
Sean Green
Kelvim Escobar
John Maine
Chan Ho Park
Sergio Mitre
Andy Pettitte
Alfredo Aceves
Damaso Marte
Michael Wuertz
Justin Duchscherer
Brett Anderson
Dallas Braden
Brett Anderson
Andrew Bailey
Justin Duchscherer
Ben Sheets
Jon Meloan
Josh Outman
Joey Devine
J.C. Romero
Brad Lidge
Joe Blanton
J.A. Happ
Ryan Madson
Chad Durbin
Antonio Bastardo
Danys Baez
Jamie Moyer
Scott Mathieson
Joel Hanrahan
Ross Ohlendorf
Brendan Donnelly
Jack Taschner
Charlie Morton
Zach Duke
Chris Jakubauskas
Ross Ohlendorf
Jose Ascanio
Joe Thatcher
Sean Gallagher
Tim Stauffer
Mat Latos
Mike Adams
Matt Antonelli
Chris Young
Cliff Lee
Jack Hannahan
Doug Fister
Ryan Rowland-Smith
Mark Lowe
Shawn Kelley
Erik Bedard
Fred Lewis
Brandon Medders
Todd Wellemeyer
Jeremy Affeldt
Dan Runzler
Chris Ray
Guillermo Mota
Kyle Lohse
Jason Motte
Jeff Suppan
Dennys Reyes
Adam Ottavino
Brad Penny
Andy Sonnanstine
Wade Davis
Jeff Niemann
Grant Balfour
Jose Lobaton
J.P. Howell
Tommy Hunter
Matt Harrison
Rich Harden
Dustin Nippert
Scott Feldman
Guillermo Moscoso
Brandon McCarthy
Frank Francisco
Eric Hurley
Warner Madrigal
Marc Rzepczynski
Brian Tallet
Jesse Litsch
Shaun Marcum
David Purcey
Scott Richmond
Rommie Lewis
Jesse Litsch
Dustin McGowan
Dirk Hayhurst
Chris Coste
Scott Olsen
Jason Marquis
Jesus Flores
Ross Detwiler
Luis Atilano
Tyler Walker
Garrett Mock
J.D. Martin
Chien-Ming Wang
