INSERT INTO PosPlayer VALUES('Left', 'CF', 'Miguel Montero', 36, 'Chicago White Sox');
INSERT INTO PosPlayer VALUES('Left', 'SS', 'Matt Wieters', 30, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Left', '1B', 'Victor Martinez', 20, 'Detroit Tigers');
INSERT INTO PosPlayer VALUES('Left', 'DH', 'Kevin Cash', 19, 'Philadelphia Phillies');
INSERT INTO PosPlayer VALUES('Left', 'RF', 'Jarrod Saltalamacchia', 85, 'New York Yankees');
INSERT INTO PosPlayer VALUES('Right', '3B', 'Jason Varitek', 7, 'Arizona Diamondbacks');
INSERT INTO PosPlayer VALUES('Right', '3B', 'Geovany Soto', 62, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Left', 'CF', 'Geovany Soto', 22, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Left', '1B', 'Ramon Castro', 53, 'Oakland Athletics');
INSERT INTO PosPlayer VALUES('Right', 'SS', 'Ryan Hanigan', 63, 'Colorado Rockies');
INSERT INTO PosPlayer VALUES('Left', 'C', 'Ramon Hernandez', 98, 'New York Yankees');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Carlos Santana', 74, 'Chicago White Sox');
INSERT INTO PosPlayer VALUES('Left', '3B', 'Brett Hayes', 63, 'Houston Astros');
INSERT INTO PosPlayer VALUES('Left', '1B', 'John Baker', 3, 'Texas Rangers');
INSERT INTO PosPlayer VALUES('Right', '3B', 'Jason Kendall', 35, 'Toronto Blue Jays');
INSERT INTO PosPlayer VALUES('Left', '2B', 'Bobby Wilson', 36, 'Seattle Mariners');
INSERT INTO PosPlayer VALUES('Left', 'C', 'Jeff Mathis', 99, 'New York Yankees');
INSERT INTO PosPlayer VALUES('Right', 'RF', 'Brad Ausmus', 81, 'Minnesota Twins');
INSERT INTO PosPlayer VALUES('Right', '1B', 'Russell Martin', 74, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Jose Morales', 68, 'Milwaukee Brewers');
INSERT INTO PosPlayer VALUES('Right', '3B', 'Gregg Zaun', 61, 'Chicago Cubs');
INSERT INTO PosPlayer VALUES('Right', 'CF', 'Rod Barajas', 63, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Right', 'P', 'Jorge Posada', 10, 'Cincinnati Reds');
INSERT INTO PosPlayer VALUES('Right', 'DH', 'Kurt Suzuki', 6, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Right', 'DH', 'Brian Schneider', 98, 'Los Angeles Dodgers');
INSERT INTO PosPlayer VALUES('Right', 'P', 'Carlos Ruiz', 3, 'Boston Red Sox');
INSERT INTO PosPlayer VALUES('Right', 'CF', 'Ryan Doumit', 9, 'Milwaukee Brewers');
INSERT INTO PosPlayer VALUES('Right', 'P', 'Josh Bard', 33, 'Houston Astros');
INSERT INTO PosPlayer VALUES('Left', 'C', 'Jason LaRue', 39, 'Oakland Athletics');
INSERT INTO PosPlayer VALUES('Right', '1B', 'Jason LaRue', 56, 'St. Louis Cardinals');
INSERT INTO PosPlayer VALUES('Left', 'SS', 'Kelly Shoppach', 21, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Matt Treanor', 43, 'Texas Rangers');
INSERT INTO PosPlayer VALUES('Right', 'CF', 'John Buck', 85, 'Texas Rangers');
